FileName;Frame;Channel;Id;X;Y;Z;Size;Perimeter;Length;Intensity
%background:/tmp/test/1 Ctrl 1.tif
%background:/tmp/test/1 Ctrl 2.tif
%background:/tmp/test/1 Ctrl 3.tif
%background:/tmp/test/2 OA1.tif
%background:/tmp/test/2 OA2.tif
%background:/tmp/test/2 OA4.tif
%background:/tmp/test/3 Ctrl1.tif
%background:/tmp/test/3 Ctrl2.tif
%background:/tmp/test/3 Ctrl3.tif
%background:/tmp/test/4 OA1.tif
%background:/tmp/test/4 OA3.tif
%background:/tmp/test/4 OA4.tif
1 Ctrl 2.tif;0;1;6;26.200000762939453;10.733333587646484;0.0;15.0;18.0;3.0;36.84674312536129
1 Ctrl 2.tif;0;1;7;40.66666793823242;11.333333015441895;0.0;3.0;8.0;1.0;118.33620633252198
1 Ctrl 2.tif;0;1;8;17.100000381469727;13.199999809265137;0.0;10.0;14.0;2.0;80.77117185266279
1 Ctrl 2.tif;0;1;9;31.25;14.583333015441895;0.0;12.0;16.0;1.0;62.89978719034124
1 Ctrl 2.tif;0;1;10;4.92307710647583;18.884614944458008;0.0;26.0;30.0;6.0;36.306854334102965
1 Ctrl 2.tif;0;1;11;25.80769157409668;18.538461685180664;0.0;26.0;26.0;6.0;68.55570395535725
1 Ctrl 2.tif;0;1;12;42.69696807861328;19.454545974731445;0.0;33.0;38.0;7.0;155.69612008009605
1 Ctrl 2.tif;0;1;13;21.863636016845703;25.363636016845703;0.0;22.0;22.0;1.0;106.8056461599628
1 Ctrl 2.tif;0;1;14;11.666666984558105;25.16666603088379;0.0;6.0;12.0;1.0;26.508234433789976
1 Ctrl 2.tif;0;1;15;38.82857131958008;30.14285659790039;0.0;35.0;34.0;5.0;35.11319078954344
1 Ctrl 2.tif;0;1;16;30.33333396911621;27.33333396911621;0.0;3.0;8.0;1.0;73.04374680262099
1 Ctrl 2.tif;0;1;17;18.600000381469727;29.799999237060547;0.0;5.0;10.0;1.0;43.97440244662191
1 Ctrl 2.tif;0;1;18;12.5;35.0;0.0;6.0;10.0;2.0;33.810176850327345
1 Ctrl 2.tif;0;1;19;31.600000381469727;40.0;0.0;50.0;44.0;7.0;59.24255689609216
1 Ctrl 2.tif;0;1;20;45.0;35.0;0.0;7.0;12.0;1.0;76.77522342165491
1 Ctrl 2.tif;0;1;21;0.5;37.0;0.0;6.0;8.0;2.0;27.247252916015487
1 Ctrl 2.tif;0;1;22;18.85714340209961;40.07143020629883;0.0;14.0;18.0;1.0;19.499047913022242
1 Ctrl 2.tif;0;1;23;15.100000381469727;41.5;0.0;10.0;13.0;4.0;34.455644944534086
1 Ctrl 2.tif;0;1;24;12.0;44.0;0.0;32.0;28.0;6.0;31.977576456339627
1 Ctrl 2.tif;0;1;25;0.5;46.5;0.0;6.0;9.0;2.0;29.52413254405154
1 Ctrl 2.tif;0;1;26;40.228572845458984;48.08571243286133;0.0;35.0;33.0;13.0;69.62630452126223
1 Ctrl 2.tif;0;1;27;4.800000190734863;49.599998474121094;0.0;5.0;7.0;2.0;64.38128327118514
1 Ctrl 3.tif;0;0;1;50.412696838378906;3.9206349849700928;0.0;63.0;40.0;7.0;99.0745192711931
1 Ctrl 3.tif;0;0;2;57.66666793823242;0.3333333432674408;0.0;3.0;5.0;1.0;1.3329283218337333
1 Ctrl 3.tif;0;0;3;38.228572845458984;15.371428489685059;0.0;35.0;26.0;1.0;107.48426990725015
1 Ctrl 3.tif;0;0;4;12.17391300201416;21.565217971801758;0.0;138.0;66.0;14.0;127.49871851730836
1 Ctrl 3.tif;0;0;5;55.0;16.5;0.0;6.0;10.0;3.0;32.582815059295136
1 Ctrl 3.tif;0;0;6;44.33333206176758;22.75;0.0;12.0;16.0;2.0;89.09276883157644
1 Ctrl 3.tif;0;0;7;38.484962463378906;46.3778190612793;0.0;532.0;180.0;54.0;100.78778149015046
1 Ctrl 3.tif;0;0;8;13.333333015441895;33.33333206176758;0.0;3.0;8.0;1.0;157.23984650194865
1 Ctrl 3.tif;0;0;9;4.199999809265137;35.5;0.0;10.0;14.0;2.0;47.494587984561086
