FileName;Frame;Channel;Id;ChannelColoc;Overlap;AvgColocObjSize;AvgColocObjIntensity;ColocImageIntensity;SingleColoc
%background:/tmp/test/1 Ctrl 1.tif
%background:/tmp/test/1 Ctrl 2.tif
%background:/tmp/test/1 Ctrl 3.tif
%background:/tmp/test/2 OA1.tif
%background:/tmp/test/2 OA2.tif
%background:/tmp/test/2 OA4.tif
%background:/tmp/test/3 Ctrl1.tif
%background:/tmp/test/3 Ctrl2.tif
%background:/tmp/test/3 Ctrl3.tif
%background:/tmp/test/4 OA1.tif
%background:/tmp/test/4 OA3.tif
%background:/tmp/test/4 OA4.tif
1 Ctrl 2.tif;0;1;15;0;0.17142857611179352;10.0;84.7911605834961;0.14701627486437616;true
1 Ctrl 2.tif;0;1;16;0;0.0;0.0;0.0;0.03164556962025317;true
1 Ctrl 2.tif;0;1;17;0;0.0;0.0;0.0;0.09746835443037975;true
1 Ctrl 2.tif;0;1;18;0;0.0;0.0;0.0;0.1139240506329114;true
1 Ctrl 2.tif;0;1;19;0;0.4000000059604645;67.0;99.22660064697266;0.24759493670886062;true
1 Ctrl 2.tif;0;1;20;0;0.0;0.0;0.0;0.03616636528028933;true
1 Ctrl 2.tif;0;1;21;0;0.0;0.0;0.0;0.026371308016877634;true
1 Ctrl 2.tif;0;1;22;0;0.3571428656578064;35.0;60.03929901123047;0.1799276672694394;true
1 Ctrl 2.tif;0;1;23;0;0.20000000298023224;5.0;38.25404357910156;0.0670886075949367;true
1 Ctrl 2.tif;0;1;24;0;0.0;0.0;0.0;0.03738132911392405;true
1 Ctrl 2.tif;0;1;25;0;0.0;0.0;0.0;0.05801687763713081;true
1 Ctrl 2.tif;0;1;26;0;0.11428571492433548;10.0;16.29172706604004;0.037974683544303806;true
1 Ctrl 2.tif;0;1;27;0;0.0;0.0;0.0;0.06075949367088607;true
1 Ctrl 3.tif;0;0;1;1;0.1428571492433548;21.0;106.0858383178711;0.06714537666918617;true
1 Ctrl 3.tif;0;0;2;1;0.0;0.0;0.0;0.003968253968253968;true
1 Ctrl 3.tif;0;0;3;1;0.02857142873108387;14.0;96.50321960449219;0.04115646258503399;true
1 Ctrl 3.tif;0;0;4;1;0.050724636763334274;17.0;75.73786926269531;0.02484472049689438;true
1 Ctrl 3.tif;0;0;5;1;0.0;0.0;0.0;0.0013227513227513227;true
1 Ctrl 3.tif;0;0;6;1;0.0833333358168602;8.0;48.62769317626953;0.024801587301587297;true
1 Ctrl 3.tif;0;0;7;1;0.05827067792415619;37.0;72.4212417602539;0.026099474877670586;false
1 Ctrl 3.tif;0;0;8;1;0.0;0.0;0.0;0.003968253968253968;true
1 Ctrl 3.tif;0;0;9;1;0.0;0.0;0.0;0.005555555555555555;true
1 Ctrl 3.tif;0;0;10;1;0.032258063554763794;5.0;129.69717407226562;0.0416026625704045;true
1 Ctrl 3.tif;0;0;11;1;0.0;0.0;0.0;0.0053854875283446705;true
1 Ctrl 3.tif;0;1;1;0;0.125;12.0;89.09276580810547;0.1261467889908257;true
1 Ctrl 3.tif;0;1;2;0;0.0;0.0;0.0;0.016055045871559634;true
1 Ctrl 3.tif;0;1;3;0;0.0;0.0;0.0;0.022396114409066383;true
1 Ctrl 3.tif;0;1;4;0;0.38461539149284363;532.0;100.78778076171875;0.19063161609033172;true
1 Ctrl 3.tif;0;1;5;0;0.0;0.0;0.0;0.010842368640533779;true
1 Ctrl 3.tif;0;1;6;0;0.0;0.0;0.0;0.05619266055045872;true
1 Ctrl 3.tif;0;1;7;0;0.0;0.0;0.0;0.06039755351681959;true
1 Ctrl 3.tif;0;1;8;0;1.0;532.0;100.78778076171875;0.38256880733944953;true
1 Ctrl 3.tif;0;1;9;0;0.0;0.0;0.0;0.02719528178243774;true
1 Ctrl 3.tif;0;1;10;0;0.1428571492433548;532.0;100.78778076171875;0.13171690694626476;true
1 Ctrl 3.tif;0;1;11;0;0.20000000298023224;31.0;117.56793975830078;0.1247706422018349;true
1 Ctrl 3.tif;0;1;12;0;0.0;0.0;0.0;0.05018888289260659;true
